pair_id,image_id_a,image_id_b,constraint_type,support_count,sources,review_batches,notes,had_conflict
15210_15400,15210,15400,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=254|rank=7,False
15210_15415,15210,15415,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=156|rank=1 || query_chip=156|candidate_chip=209|rank=3,False
15210_15426,15210,15426,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=152|rank=2,False
15210_15472,15210,15472,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=67|rank=9,False
15210_15476,15210,15476,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=209|candidate_chip=112|rank=10,False
15211_15220,15211,15220,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=185|rank=8,False
15211_15239,15211,15239,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=220|rank=8,False
15211_15248,15211,15248,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=79|candidate_chip=185|rank=1,False
15211_15275,15211,15275,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=95|candidate_chip=185|rank=8,False
15211_15277,15211,15277,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=216|candidate_chip=185|rank=9,False
15211_15285,15211,15285,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=21|candidate_chip=185|rank=5 || query_chip=185|candidate_chip=21|rank=9,False
15211_15292,15211,15292,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=53|candidate_chip=185|rank=8,False
15211_15296,15211,15296,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=27|rank=5,False
15211_15299,15211,15299,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=178|rank=6,False
15211_15310,15211,15310,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=166|candidate_chip=185|rank=3,False
15211_15323,15211,15323,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=111|rank=10 || query_chip=111|candidate_chip=185|rank=5,False
15211_15324,15211,15324,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=63|candidate_chip=185|rank=3,False
15211_15337,15211,15337,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=266|rank=3,False
15211_15365,15211,15365,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=4|candidate_chip=185|rank=9,False
15211_15386,15211,15386,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=48|candidate_chip=185|rank=2 || query_chip=185|candidate_chip=48|rank=2,False
15211_15395,15211,15395,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=147|candidate_chip=185|rank=3,False
15211_15397,15211,15397,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=82|candidate_chip=185|rank=7,False
15211_15401,15211,15401,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=269|candidate_chip=185|rank=8,False
15211_15402,15211,15402,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=158|candidate_chip=185|rank=6,False
15211_15407,15211,15407,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=268|rank=4,False
15211_15430,15211,15430,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=198|rank=7,False
15211_15470,15211,15470,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=157|candidate_chip=185|rank=4,False
15211_15479,15211,15479,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=185|candidate_chip=133|rank=1,False
15212_15233,15212,15233,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=195|candidate_chip=278|rank=8,False
15212_15235,15212,15235,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=278|candidate_chip=41|rank=1,False
15212_15236,15212,15236,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=173|candidate_chip=278|rank=10,False
15212_15245,15212,15245,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=191|candidate_chip=278|rank=6,False
15212_15264,15212,15264,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=167|candidate_chip=278|rank=10,False
15212_15279,15212,15279,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=278|candidate_chip=219|rank=5,False
15212_15315,15212,15315,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=207|candidate_chip=278|rank=2,False
15212_15337,15212,15337,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=278|candidate_chip=266|rank=7,False
15212_15369,15212,15369,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=213|candidate_chip=278|rank=5,False
15212_15388,15212,15388,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=140|candidate_chip=278|rank=8,False
15212_15395,15212,15395,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=147|candidate_chip=278|rank=1 || query_chip=278|candidate_chip=147|rank=6,False
15212_15396,15212,15396,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=278|candidate_chip=145|rank=9,False
15212_15458,15212,15458,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=278|candidate_chip=51|rank=4,False
15212_15482,15212,15482,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=164|candidate_chip=278|rank=1 || query_chip=278|candidate_chip=164|rank=2,False
15214_15220,15214,15220,cannot-link,1,user_manual_review_split_cluster_20260419,texas_cluster_review_boards_v1,user_marked_cluster_227_split,False
15214_15239,15214,15239,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=220|rank=7,False
15214_15247,15214,15247,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=174|candidate_chip=33|rank=10,False
15214_15256,15214,15256,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=11|rank=8,False
15214_15279,15214,15279,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=219|rank=4,False
15214_15289,15214,15289,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=54|rank=10,False
15214_15296,15214,15296,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=27|rank=6,False
15214_15304,15214,15304,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=224|rank=5,False
15214_15307,15214,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=201|rank=1,False
15214_15324,15214,15324,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=63|candidate_chip=33|rank=10,False
15214_15359,15214,15359,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=248|candidate_chip=33|rank=8,False
15214_15380,15214,15380,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=74|candidate_chip=33|rank=5,False
15214_15386,15214,15386,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=48|rank=3,False
15214_15395,15214,15395,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=147|candidate_chip=33|rank=8,False
15214_15418,15214,15418,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=72|candidate_chip=33|rank=6,False
15214_15438,15214,15438,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=245|candidate_chip=33|rank=8,False
15214_15440,15214,15440,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=270|candidate_chip=33|rank=6,False
15214_15448,15214,15448,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=14|candidate_chip=33|rank=6,False
15214_15453,15214,15453,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=165|candidate_chip=33|rank=7,False
15214_15469,15214,15469,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=274|candidate_chip=33|rank=5 || query_chip=33|candidate_chip=274|rank=2,False
15214_15470,15214,15470,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=33|candidate_chip=157|rank=9,False
15214_15476,15214,15476,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=112|candidate_chip=33|rank=1,False
15215_15217,15215,15217,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=59|rank=10,False
15215_15226,15215,15226,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=64|candidate_chip=148|rank=2 || query_chip=148|candidate_chip=64|rank=4,False
15215_15290,15215,15290,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=36|rank=9,False
15215_15308,15215,15308,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=80|rank=8,False
15215_15356,15215,15356,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=29|rank=7,False
15215_15383,15215,15383,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=267|rank=6,False
15215_15415,15215,15415,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=156|candidate_chip=148|rank=7,False
15215_15423,15215,15423,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=56|rank=1,False
15215_15426,15215,15426,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=152|rank=3,False
15215_15471,15215,15471,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=128|rank=2,False
15215_15472,15215,15472,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=148|candidate_chip=67|rank=5,False
15216_15227,15216,15227,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=3|candidate_chip=235|rank=8,False
15216_15236,15216,15236,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=173|candidate_chip=235|rank=4,False
15216_15239,15216,15239,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=220|rank=8,False
15216_15242,15216,15242,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=91|rank=6,False
15216_15251,15216,15251,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=132|rank=7,False
15216_15255,15216,15255,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=226|candidate_chip=235|rank=9,False
15216_15266,15216,15266,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=60|candidate_chip=235|rank=1,False
15216_15269,15216,15269,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=24|rank=10 || query_chip=24|candidate_chip=235|rank=2,False
15216_15305,15216,15305,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=237|rank=2,False
15216_15307,15216,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=201|rank=5,False
15216_15317,15216,15317,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=233|rank=4 || query_chip=233|candidate_chip=235|rank=1,False
15216_15367,15216,15367,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=101|rank=1,False
15216_15380,15216,15380,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=74|candidate_chip=235|rank=3,False
15216_15443,15216,15443,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=235|candidate_chip=10|rank=9,False
15216_15482,15216,15482,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=164|candidate_chip=235|rank=9,False
15217_15218,15217,15218,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=59|rank=8,False
15217_15248,15217,15248,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=79|candidate_chip=59|rank=4,False
15217_15274,15217,15274,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=87|candidate_chip=59|rank=5 || query_chip=59|candidate_chip=87|rank=2,False
15217_15285,15217,15285,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=21|rank=5,False
15217_15290,15217,15290,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=36|candidate_chip=59|rank=3,False
15217_15300,15217,15300,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=22|candidate_chip=59|rank=6,False
15217_15307,15217,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=201|rank=9,False
15217_15312,15217,15312,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=104|candidate_chip=59|rank=3,False
15217_15319,15217,15319,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=257|candidate_chip=59|rank=6,False
15217_15333,15217,15333,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=141|rank=3,False
15217_15347,15217,15347,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=35|candidate_chip=59|rank=2,False
15217_15348,15217,15348,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=85|rank=10,False
15217_15354,15217,15354,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=109|candidate_chip=59|rank=5,False
15217_15361,15217,15361,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=38|rank=1 || query_chip=38|candidate_chip=59|rank=6,False
15217_15375,15217,15375,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=262|candidate_chip=59|rank=8,False
15217_15389,15217,15389,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=228|rank=6,False
15217_15410,15217,15410,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=170|rank=7,False
15217_15417,15217,15417,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=146|rank=8 || query_chip=146|candidate_chip=59|rank=3,False
15217_15433,15217,15433,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=232|candidate_chip=59|rank=2,False
15217_15448,15217,15448,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=14|candidate_chip=59|rank=9,False
15217_15464,15217,15464,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=135|candidate_chip=59|rank=5,False
15217_15474,15217,15474,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=59|candidate_chip=102|rank=4,False
15218_15228,15218,15228,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=234|candidate_chip=12|rank=5 || query_chip=12|candidate_chip=234|rank=3,False
15218_15239,15218,15239,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=220|rank=1 || query_chip=220|candidate_chip=12|rank=7,False
15218_15307,15218,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=201|rank=2,False
15218_15344,15218,15344,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=40|rank=7,False
15218_15361,15218,15361,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=38|rank=10,False
15218_15374,15218,15374,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=193|candidate_chip=12|rank=3 || query_chip=12|candidate_chip=193|rank=9,False
15218_15388,15218,15388,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=140|rank=6 || query_chip=140|candidate_chip=12|rank=10,False
15218_15416,15218,15416,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=202|candidate_chip=12|rank=9,False
15218_15474,15218,15474,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=12|candidate_chip=102|rank=5,False
15219_15239,15219,15239,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=220|rank=6,False
15219_15274,15219,15274,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=87|rank=1,False
15219_15285,15219,15285,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=21|rank=10,False
15219_15291,15219,15291,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=39|rank=4,False
15219_15326,15219,15326,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=159|rank=8,False
15219_15418,15219,15418,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=72|rank=3,False
15219_15461,15219,15461,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=222|rank=2,False
15219_15469,15219,15469,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=274|rank=9,False
15219_15479,15219,15479,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=89|candidate_chip=133|rank=5,False
15220_15227,15220,15227,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=3|candidate_chip=58|rank=2 || query_chip=58|candidate_chip=3|rank=5,False
15220_15230,15220,15230,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=273|candidate_chip=58|rank=8,False
15220_15243,15220,15243,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=106|candidate_chip=58|rank=1,False
15220_15244,15220,15244,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=203|rank=7 || query_chip=203|candidate_chip=58|rank=3,False
15220_15264,15220,15264,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=167|candidate_chip=58|rank=2,False
15220_15270,15220,15270,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=15|candidate_chip=58|rank=1 || query_chip=58|candidate_chip=15|rank=2,False
15220_15275,15220,15275,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=95|candidate_chip=58|rank=7 || query_chip=58|candidate_chip=95|rank=9,False
15220_15311,15220,15311,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=153|candidate_chip=58|rank=1 || query_chip=58|candidate_chip=153|rank=1,False
15220_15312,15220,15312,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=104|candidate_chip=58|rank=2,False
15220_15330,15220,15330,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=103|candidate_chip=58|rank=5,False
15220_15365,15220,15365,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=4|candidate_chip=58|rank=2,False
15220_15380,15220,15380,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=74|rank=3,False
15220_15386,15220,15386,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=48|rank=4,False
15220_15414,15220,15414,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=261|rank=6,False
15220_15478,15220,15478,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=58|candidate_chip=123|rank=10,False
15221_15264,15221,15264,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=167|rank=2,False
15221_15329,15221,15329,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=131|rank=7,False
15221_15342,15221,15342,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=6|rank=1,False
15221_15344,15221,15344,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=40|rank=6,False
15221_15349,15221,15349,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=32|rank=9,False
15221_15369,15221,15369,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=213|rank=3,False
15221_15391,15221,15391,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=137|rank=10,False
15221_15394,15221,15394,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=71|rank=4,False
15221_15409,15221,15409,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=55|candidate_chip=61|rank=5,False
15222_15223,15222,15223,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=249|rank=1,False
15222_15244,15222,15244,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=203|rank=3,False
15222_15257,15222,15257,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=258|rank=7,False
15222_15265,15222,15265,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=9|rank=6,False
15222_15307,15222,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=201|rank=2,False
15222_15309,15222,15309,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=34|rank=5,False
15222_15354,15222,15354,cannot-link,2,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=109|rank=9 || query_chip=109|candidate_chip=149|rank=9,False
15222_15380,15222,15380,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=74|rank=8,False
15222_15385,15222,15385,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=117|rank=4,False
15222_15474,15222,15474,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=149|candidate_chip=102|rank=10,False
15223_15236,15223,15236,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=173|candidate_chip=249|rank=1,False
15223_15243,15223,15243,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=106|candidate_chip=249|rank=2,False
15223_15247,15223,15247,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=174|candidate_chip=249|rank=5,False
15223_15266,15223,15266,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=60|candidate_chip=249|rank=4,False
15223_15354,15223,15354,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=109|candidate_chip=249|rank=2,False
15223_15438,15223,15438,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=245|candidate_chip=249|rank=2,False
15224_15366,15224,15366,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=42|candidate_chip=221|rank=10,False
15224_15440,15224,15440,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=270|candidate_chip=221|rank=4,False
15224_15470,15224,15470,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=157|candidate_chip=221|rank=2,False
15225_15250,15225,15250,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=247|candidate_chip=163|rank=3,False
15225_15286,15225,15286,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=163|candidate_chip=275|rank=1,False
15225_15307,15225,15307,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=163|candidate_chip=201|rank=9,False
15225_15308,15225,15308,cannot-link,1,external_mapped_no_match_top10,external_hotspotter_review_v1,query_chip=80|candidate_chip=163|rank=7,False
